Product-id,Seller-id,Product-SKU,Product-Title,Product-Brand,URL,img_URL,Regular-Price,Final-Price,TIKI-NOW,Installment,Page,Location
455896,19408236,1332419850778,Combo 2 Nước Xịt Khoáng Evoluderm 150ml Và 400ml,Evoluderm,https://tiki.vn//combo-2-nuoc-xit-khoang-evoluderm-150ml-va-400ml-p455896.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/0/0/00328475-1_1_2.jpg,204.500đ                                            -50%,204.500đ                                            -50%,YES,,5,32
20869738,20869739,1941437620944,Serum Ngăn Ngừa Lão Hóa Pond'S Age Miracle Double Action (30ml),Pond's,https://tiki.vn//serum-ngan-ngua-lao-hoa-pond-s-age-miracle-double-action-30ml-p20869738.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/83/66/c2/79db9a47d46934b7a4a63bbbee0eeef1.jpg,306.000đ                                            -15%,306.000đ                                            -15%,YES,,5,33
49209595,55899876,3123694277477,"Kem chống nắng kiềm dầu, dịu nhẹ cho da mụn Skin1004 Madagascar Centalla Air-Fit Sunscream SPF 50+ PA++++ 50ml",Skin1004,https://tiki.vn//kem-chong-nang-kiem-dau-diu-nhe-cho-da-mun-skin1004-madagascar-centalla-air-fit-sunscream-spf-50-pa-50ml-p49209595.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/2b/7c/eb/a0ab04fab488d54f5f3edcd86948b779.jpg,254.500đ                                            -49%,254.500đ                                            -49%,YES,,5,34
55339097,59495552,2740424921199,Bộ kem chống nắng Anessa dạng xịt và sữa chống nắng bảo vệ hoàn hảo (Anessa Perfect UV Sunscreen Skincare Spray and Milk),ANESSA,https://tiki.vn//bo-kem-chong-nang-anessa-dang-xit-va-sua-chong-nang-bao-ve-hoan-hao-anessa-perfect-uv-sunscreen-skincare-spray-and-milk-p55339097.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/83/54/92/98260f6c45431a8e24b842524c6c772a.jpg,395.900đ                                            -44%,395.900đ                                            -44%,YES,,5,35
10640154,10862885,1683721181235,Gel Rửa Mặt Kiểm Soát Nhờn Ngăn Ngừa Mụn Acnes Oil Control Cleanser (100g),Acnes,https://tiki.vn//gel-rua-mat-kiem-soat-nhon-ngan-ngua-mun-acnes-oil-control-cleanser-100g-p10640154.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/cd/07/f1/d507ad945f6e33cb4db3268af8bcb005.png,55.000đ                                            -8%,55.000đ                                            -8%,YES,,5,36
1313907,10862581,1760586369951,Mặt Nạ Dưỡng Trắng Da Chống Thâm Nám Melano CC Whitening Mask (20 Miếng),Melano CC,https://tiki.vn//mat-na-duong-trang-da-chong-tham-nam-melano-cc-whitening-mask-20-mieng-p1313907.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/16/d3/2c/376c6c0d16b0249cb68395b439f2f471.jpg,239.000đ                                            -20%,239.000đ                                            -20%,YES,,5,37
426104,8294417,1337345683445,Combo 3 Phim Thấm Dầu Jomi Mayan (70 Tờ) - Xanh ,Mayan,https://tiki.vn//combo-3-phim-tham-dau-jomi-mayan-70-to-xanh-p426104.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/_/1_33_31-1.jpg,132.000đ                                            -20%,132.000đ                                            -20%,YES,,5,38
23028156,23028157,1023623429880,Bộ kem dưỡng trắng da ban đêm Senka (White Beauty Glow Gel Cream 50g + Perfect White Clay 120g),Senka,https://tiki.vn//bo-kem-duong-trang-da-ban-dem-senka-white-beauty-glow-gel-cream-50g-perfect-white-clay-120g-p23028156.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/6d/76/c6/59bb77a8f43fea16a9654ef33d8ec474.jpg,195.000đ                                            -46%,195.000đ                                            -46%,YES,,5,39
31612089,48476362,8993340527349,Máy rửa mặt silicon cao cấp FOREVER ( Khách chọn màu),OEM,https://tiki.vn//may-rua-mat-silicon-cao-cap-forever-khach-chon-mau-p31612089.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/85/5b/bc/01d5c78c3a23ed65d641855e7293a0fc.jpg,48.000đ                                            -84%,48.000đ                                            -84%,YES,,5,40
1313895,10862272,6335071891498,Dầu Tẩy Trang Dưỡng Ẩm Hada Labo Gokujyun Cleansing Oil (200ml),Hada Labo,https://tiki.vn//dau-tay-trang-duong-am-hada-labo-gokujyun-cleansing-oil-200ml-p1313895.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e3/cc/bc/522c913dc82347f68e6187323a53e051.jpg,278.000đ                                            -7%,278.000đ                                            -7%,YES,,5,41
54435917,54435918,1930617988752,Gel rửa mặt dịu nhẹ Senka Perfect Gel Gentle Wash,Senka,https://tiki.vn//gel-rua-mat-diu-nhe-senka-perfect-gel-gentle-wash-p54435917.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ba/63/3d/efa6eaf483104cd704be738a257312b8.jpg,81.000đ                                            -30%,81.000đ                                            -30%,YES,,5,42
28939426,44927885,7133452121665,Tinh chất vitamin C tinh khiết dưỡng trắng và mờ thâm CC MELANO - 20ml,Melano CC,https://tiki.vn//tinh-chat-vitamin-c-tinh-khiet-duong-trang-va-mo-tham-cc-melano-20ml-p28939426.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/91/9b/94/edcf6a9fd0c668697b7ceeb40a5a9eaa.jpg,268.900đ                                            -23%,268.900đ                                            -23%,YES,,5,43
10768959,52241600,8955417280960,Tinh chất dưỡng da Dear Klairs Rich Moist Soothing Serum,Klairs,https://tiki.vn//tinh-chat-duong-da-dear-klairs-rich-moist-soothing-serum-p10768959.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/bd/01/79/1a618df11cb7e69e519f5f37a5a90a10.png,230.000đ                                            -40%,230.000đ                                            -40%,YES,,5,44
51542411,51542412,1347957788148,Kem chống nắng dạng gel bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Gel 90g,ANESSA,https://tiki.vn//kem-chong-nang-dang-gel-bao-ve-hoan-hao-anessa-perfect-uv-sunscreen-skincare-gel-90g-p51542411.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/67/4d/d3/47f4686080857075e2901fa228878490.jpg,358.000đ                                            -35%,358.000đ                                            -35%,YES,,5,45
2399327,3149073,4662919484362,Dầu Tẩy Trang Sạch Sâu Senka All Clear Oil 14847 (230ml),Senka,https://tiki.vn//dau-tay-trang-sach-sau-senka-all-clear-oil-14847-230ml-p2399327.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/bf/f9/95/b5ae6a3413048d73afa503fc854c3c05.jpg,199.000đ                                            -29%,199.000đ                                            -29%,YES,,5,46
16386898,55281416,9586944692149,Kem Chấm Mụn Some By Mi AHA-BHA-PHA 14 Days Super Miracle Spot All Kill Cream,Some By Mi,https://tiki.vn//kem-cham-mun-some-by-mi-aha-bha-pha-14-days-super-miracle-spot-all-kill-cream-p16386898.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d7/42/c5/69f5d9c396e222450f35de290b6d9084.jpg,207.500đ                                            -41%,207.500đ                                            -41%,YES,,5,47
400281,58697722,1336299652132,Sữa Rửa Mặt Trắng Da L'Oreal White Perfect (100ml),L'ORÉAL,https://tiki.vn//sua-rua-mat-trang-da-l-oreal-white-perfect-100ml-p400281.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/91/89/15/a22ddfffcc6299ad162363709f4e4d6f.jpg,79.000đ                                            -20%,79.000đ                                            -20%,YES,,6,0
